PDF Link,Download_Status,File_Size_KB,Error_Message,Downloaded_At
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11079970,success,2133.1943359375,,2026-01-03 20:56:36.641428
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11079596,success,1619.775390625,,2026-01-03 20:56:36.983168
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11079977,success,1774.46484375,,2026-01-03 20:56:38.235923
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11079973,success,1329.986328125,,2026-01-03 20:56:38.230372
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11079409,success,1689.0947265625,,2026-01-03 20:56:41.001048
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11079590,success,1527.669921875,,2026-01-03 20:56:39.429915
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11078252,success,1346.251953125,,2026-01-03 20:56:40.145927
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11078238,success,1660.11328125,,2026-01-03 20:56:42.004325
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11078248,success,1517.2236328125,,2026-01-03 20:56:40.605410
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11078259,success,6661.73046875,,2026-01-03 20:56:50.973916
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11078244,success,2871.5703125,,2026-01-03 20:56:45.035975
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11078275,success,1662.6650390625,,2026-01-03 20:56:42.934173
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11078283,success,6621.0439453125,,2026-01-03 20:56:49.999046
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11078278,success,2157.4296875,,2026-01-03 20:56:46.271656
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11078247,success,1303.0166015625,,2026-01-03 20:56:46.324916
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11078280,success,5274.8447265625,,2026-01-03 20:56:53.077568
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11078264,success,1622.6474609375,,2026-01-03 20:56:48.699680
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11078270,success,2396.4189453125,,2026-01-03 20:56:50.959879
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11078254,success,2695.1171875,,2026-01-03 20:56:53.630254
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11078269,success,2365.58984375,,2026-01-03 20:56:55.310033
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11069291,success,5451.0498046875,,2026-01-03 20:57:01.817486
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11068987,success,2537.3505859375,,2026-01-03 20:56:56.040653
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11071293,success,2872.59765625,,2026-01-03 20:56:57.092371
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062847,success,1996.716796875,,2026-01-03 20:56:57.418478
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11063272,success,1742.263671875,,2026-01-03 20:56:59.710947
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062859,success,6056.4208984375,,2026-01-03 20:57:03.744086
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062880,success,2475.1484375,,2026-01-03 20:57:02.340457
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062820,success,5588.455078125,,2026-01-03 20:57:05.600045
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062848,success,3006.171875,,2026-01-03 20:57:05.091290
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062655,success,1656.541015625,,2026-01-03 20:57:04.454441
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062867,success,4188.7041015625,,2026-01-03 20:57:43.833557
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062578,success,2093.669921875,,2026-01-03 20:57:40.309764
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062639,success,2119.8125,,2026-01-03 20:57:40.426694
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062871,success,1845.5625,,2026-01-03 20:57:40.323266
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062842,success,2909.0673828125,,2026-01-03 20:57:41.849523
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062869,success,2890.5380859375,,2026-01-03 20:57:46.241673
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062850,success,1089.4052734375,,2026-01-03 20:57:42.432982
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062905,success,1708.3720703125,,2026-01-03 20:57:43.246970
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062823,success,1090.2578125,,2026-01-03 20:57:44.641251
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11063333,success,6354.44140625,,2026-01-03 20:57:53.556818
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062813,success,1516.0205078125,,2026-01-03 20:57:45.868211
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062817,success,7034.810546875,,2026-01-03 20:57:58.637168
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062876,success,2872.572265625,,2026-01-03 20:57:51.119356
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062856,success,7844.3466796875,,2026-01-03 20:58:02.668080
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062818,success,3479.2802734375,,2026-01-03 20:57:52.355517
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062864,success,1577.4580078125,,2026-01-03 20:57:54.864523
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062872,success,3702.23046875,,2026-01-03 20:57:59.341567
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062873,success,1538.7314453125,,2026-01-03 20:57:58.171598
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062816,success,4595.2412109375,,2026-01-03 20:58:04.254017
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062901,success,12649.3349609375,,2026-01-03 20:58:16.159837
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062914,success,3274.53125,,2026-01-03 20:58:04.785105
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062616,failed,,Timeout,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11063281,success,1794.6689453125,,2026-01-03 20:58:07.701071
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11063279,success,2282.09375,,2026-01-03 20:58:08.443376
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062843,success,2256.541015625,,2026-01-03 20:58:09.751752
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11063249,success,2116.8857421875,,2026-01-03 20:58:13.142261
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062898,success,3267.736328125,,2026-01-03 20:58:15.293909
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062643,success,2334.990234375,,2026-01-03 20:58:15.547881
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062617,success,2776.4560546875,,2026-01-03 20:58:18.661619
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062585,success,8848.40234375,,2026-01-03 20:58:32.326673
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062458,success,1612.5361328125,,2026-01-03 20:58:19.433206
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062634,success,6559.732421875,,2026-01-03 20:58:25.210155
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062646,success,2464.93359375,,2026-01-03 20:58:23.721394
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062644,success,4231.861328125,,2026-01-03 20:58:26.774717
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062450,success,2893.466796875,,2026-01-03 20:58:29.151552
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062630,success,1681.666015625,,2026-01-03 20:58:29.154315
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062571,success,2046.5791015625,,2026-01-03 20:58:31.187571
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062580,success,910.5029296875,,2026-01-03 20:58:30.663174
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062570,success,1981.23046875,,2026-01-03 20:58:33.750615
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062579,success,3491.466796875,,2026-01-03 20:58:37.566392
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062455,success,2862.4931640625,,2026-01-03 20:58:36.389231
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062608,success,4113.4423828125,,2026-01-03 20:58:37.903411
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062635,success,2953.96875,,2026-01-03 20:58:38.454614
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062637,success,1246.642578125,,2026-01-03 20:58:36.851838
